sport,season,round,signal,market,round_avg_clv,running_avg_clv,clv_count,positive_clv,negative_clv,wins,losses,pushes,clv_sum,source_file
NRL,2026,9,market,h2h,0.1029,0.1029,8,8,0,3,5,0,0.8234,r9_nrl_ml_comparison_2026.csv
NRL,2026,9,market,handicap,2.6667,2.6667,6,6,0,3,3,0,16.0,r9_nrl_ml_comparison_2026.csv
NRL,2026,9,market,total,1.8,1.8,5,5,0,3,2,0,9.0,r9_nrl_ml_comparison_2026.csv
NRL,2026,9,ml,h2h,-0.0211,-0.0211,8,3,5,6,2,0,-0.1691,r9_nrl_ml_comparison_2026.csv
NRL,2026,9,ml,handicap,-1.5,-1.5,8,1,5,3,5,0,-12.0,r9_nrl_ml_comparison_2026.csv
NRL,2026,9,ml,total,-0.125,-0.125,8,2,3,3,5,0,-1.0,r9_nrl_ml_comparison_2026.csv
NRL,2026,9,normal,h2h,-0.0232,-0.0232,8,3,5,6,2,0,-0.1855,r9_nrl_ml_comparison_2026.csv
NRL,2026,9,normal,handicap,-1.5,-1.5,8,1,5,3,5,0,-12.0,r9_nrl_ml_comparison_2026.csv
NRL,2026,9,normal,total,0.625,0.625,8,4,1,4,4,0,5.0,r9_nrl_ml_comparison_2026.csv
NRL,2026,10,market,h2h,0.1521,0.1275,8,8,0,6,2,0,1.2165,r10_nrl_ml_comparison_2026.csv
NRL,2026,10,market,handicap,2.75,2.7084,8,8,0,5,3,0,22.0,r10_nrl_ml_comparison_2026.csv
NRL,2026,10,market,total,2.0,1.9,3,3,0,2,1,0,6.0,r10_nrl_ml_comparison_2026.csv
NRL,2026,10,ml,h2h,-0.0512,-0.0362,8,3,5,5,3,0,-0.4096,r10_nrl_ml_comparison_2026.csv
NRL,2026,10,ml,handicap,1.5,0.0,8,5,3,4,4,0,12.0,r10_nrl_ml_comparison_2026.csv
NRL,2026,10,ml,total,0.25,0.0625,8,2,1,5,3,0,2.0,r10_nrl_ml_comparison_2026.csv
NRL,2026,10,normal,h2h,0.075,0.0259,8,5,3,5,3,0,0.5998,r10_nrl_ml_comparison_2026.csv
NRL,2026,10,normal,handicap,1.5,0.0,8,4,4,3,5,0,12.0,r10_nrl_ml_comparison_2026.csv
NRL,2026,10,normal,total,0.75,0.6875,8,3,0,5,3,0,6.0,r10_nrl_ml_comparison_2026.csv
NRL,2026,11,market,h2h,0.097,0.1173,8,8,0,2,6,0,0.7757,r11_nrl_ml_comparison_2026.csv
NRL,2026,11,market,handicap,2.0,2.4722,7,7,0,3,4,0,14.0,r11_nrl_ml_comparison_2026.csv
NRL,2026,11,market,total,1.75,1.85,4,4,0,1,3,0,7.0,r11_nrl_ml_comparison_2026.csv
NRL,2026,11,ml,h2h,0.0161,-0.0187,8,3,5,7,1,0,0.1286,r11_nrl_ml_comparison_2026.csv
NRL,2026,11,ml,handicap,0.0,0.0,8,3,4,4,4,0,0.0,r11_nrl_ml_comparison_2026.csv
NRL,2026,11,ml,total,-0.125,0.0,8,2,2,5,3,0,-1.0,r11_nrl_ml_comparison_2026.csv
NRL,2026,11,normal,h2h,0.0208,0.0242,8,4,4,6,2,0,0.1664,r11_nrl_ml_comparison_2026.csv
NRL,2026,11,normal,handicap,0.75,0.25,8,4,3,5,3,0,6.0,r11_nrl_ml_comparison_2026.csv
NRL,2026,11,normal,total,0.875,0.75,8,4,0,1,7,0,7.0,r11_nrl_ml_comparison_2026.csv
