season,pair,base_rows,raw_rows,status
2026,Brisbane Broncos vs Canterbury-Bankstown Bulldogs,0,1,count_mismatch
2026,Canberra Raiders vs Melbourne Storm,0,1,count_mismatch
2026,Canterbury-Bankstown Bulldogs vs North Queensland Cowboys,0,1,count_mismatch
2026,Cronulla-Sutherland Sharks vs Wests Tigers,0,1,count_mismatch
2026,Dolphins vs Melbourne Storm,0,1,count_mismatch
2026,Dolphins vs Penrith Panthers,0,1,count_mismatch
2026,Gold Coast Titans vs Canberra Raiders,0,1,count_mismatch
2026,Manly-Warringah Sea Eagles vs Parramatta Eels,0,1,count_mismatch
2026,Melbourne Storm vs South Sydney Rabbitohs,0,1,count_mismatch
2026,New Zealand Warriors vs Dolphins,0,1,count_mismatch
2026,New Zealand Warriors vs Gold Coast Titans,0,1,count_mismatch
2026,Newcastle Knights vs Penrith Panthers,0,1,count_mismatch
2026,Newcastle Knights vs South Sydney Rabbitohs,0,1,count_mismatch
2026,North Queensland Cowboys vs Cronulla-Sutherland Sharks,0,1,count_mismatch
2026,North Queensland Cowboys vs Manly-Warringah Sea Eagles,0,1,count_mismatch
2026,Parramatta Eels vs Canterbury-Bankstown Bulldogs,0,1,count_mismatch
2026,Parramatta Eels vs New Zealand Warriors,0,1,count_mismatch
2026,Penrith Panthers vs Manly-Warringah Sea Eagles,0,1,count_mismatch
2026,South Sydney Rabbitohs vs St. George Illawarra Dragons,0,1,count_mismatch
2026,St. George Illawarra Dragons vs Sydney Roosters,0,1,count_mismatch
2026,Sydney Roosters vs Brisbane Broncos,0,1,count_mismatch
2026,Sydney Roosters vs Newcastle Knights,0,1,count_mismatch
2026,Wests Tigers vs Brisbane Broncos,0,1,count_mismatch
2026,Wests Tigers vs Canberra Raiders,0,1,count_mismatch
